t,a_abs (m/s2),a1_measured (m/s2)
79.36,,0.0021330006
79.37,,0.002070753
79.37,,0.0019966142
79.37,,0.0019084312
79.38,,0.001804384
79.38,,0.0016831621999999998
79.38,,0.0015441133000000003
79.39,,0.0013873509000000002
79.39,,0.0012138184
79.39,,0.0010253022000000001
79.4,,0.00082439399
79.4,,0.00061440492
79.4,,0.00039923637999999997
79.41,,0.00018321476
79.41,,-2.9099536e-05
79.41,,-0.00023311792
79.42,,-0.00042443242
79.42,,-0.00059901539
79.42,,-0.00075339901
79.43,,-0.00088482465
79.43,,-0.00099135389
79.43,,-0.0010719356
79.44,,-0.0011264261
79.44,,-0.0011555609
79.44,,-0.0011608822
79.45,,-0.0011446247
79.45,,-0.0011095684
79.45,,-0.0010588663
79.46,,-0.0009958573
79.46,,-0.0009238747999999999
79.46,,-0.0008460621999999999
79.47,,-0.00076520515
79.47,,-0.0006835899500000001
79.47,,-0.00060289562
79.48,,-0.00052412536
79.48,,-0.00044758071000000003
79.48,,-0.00037287952
79.49,,-0.00029901632
79.49,,-0.00022446139
79.49,,-0.00014729292
79.5,,-6.5354816e-05
79.5,,2.3568662e-05
79.5,,0.00012157073
79.51,,0.00023044246
79.51,,0.00035150527
79.51,,0.00048546471
79.52,,0.0006322934500000001
79.52,,0.00079115017
79.52,,0.00096033931
79.53,,0.0011373146000000002
79.53,,0.0013187274
79.53,,0.0015005189
79.54,,0.0016780529
79.54,,0.0018462838
79.54,,0.0019999542
79.55,,0.0021338111000000002
79.55,,0.002242834
79.55,,0.0023224618
79.56,,0.0023688089000000003
79.56,,0.0023788572
79.56,,0.0023506158
79.57,,0.0022832366000000003
79.57,,0.0021770773
79.57,,0.0020337075
79.58,,0.0018558537
79.58,,0.0016472817
79.58,,0.0014126226
79.59,,0.0011571478000000001
79.59,,0.00088650378
79.59,,0.00060642307
79.6,,0.00032242605
79.6,,3.953489800000001e-05
79.6,,-0.00023798125000000001
79.61,,-0.00050680983
79.61,,-0.00076472962
79.61,,-0.0010106622
79.62,,-0.0012446308
79.62,,-0.0014676241
79.62,,-0.0016813667
79.63,,-0.0018880109000000002
79.63,,-0.002089765
79.63,,-0.0022884866
79.64,,-0.0024852696
79.64,,-0.0026800606
79.64,,-0.0028713397000000003
79.65,,-0.0030558992
79.65,,-0.0032287493
79.65,,-0.0033831744
79.66,,-0.0035109487
79.66,,-0.0036027150000000003
79.66,,-0.0036485116000000003
79.67,,-0.0036384222
79.67,,-0.0035633117
79.67,,-0.0034155990000000005
79.68,,-0.003190011
79.68,,-0.0028842604
79.68,,-0.0024995867
79.69,,-0.0020411116
79.69,,-0.0015179619
79.69,,-0.0009431363800000001
79.7,,-0.00033310183
79.7,,0.00029287007
79.7,,0.0009135980500000001
79.71,,0.0015070701000000001
79.71,,0.0020516418
79.71,,0.0025272772999999998
79.72,,0.0029167486999999996
79.72,,0.0032067088
79.72,,0.0033885567
79.73,,0.0034590292000000003
79.73,,0.0034204653000000002
79.73,,0.0032807166
79.74,,0.0030526977
79.74,,0.0027536006000000003
79.74,,0.0024038177999999998
79.75,,0.0020256457
79.75,,0.0016418532
79.75,,0.001274215
79.76,,0.00094211115
79.76,,0.00066129118
79.76,,0.00044289056
79.77,,0.00029276889
79.77,,0.00021121595
79.77,,0.00019304486999999998
79.78,,0.00022806360000000002
79.78,,0.00030188765
79.78,,0.00039703298
79.79,,0.0004942073899999999
79.79,,0.00057370575
79.79,,0.00061680789
79.8,,0.00060707982
79.8,,0.00053148816
79.8,,0.0003812534
79.81,,0.00015238891
79.81,,-0.00015410259
79.81,,-0.00053237742
79.82,,-0.00097222067
79.82,,-0.0014597911999999998
79.82,,-0.0019785768
79.83,,-0.0025104829
79.83,,-0.0030369694
79.83,,-0.0035401544000000004
79.84,,-0.0040038062000000004
79.84,,-0.0044141624
79.84,,-0.0047605264
79.85,,-0.005035616000000001
79.85,,-0.0052356571
79.85,,-0.0053602342
79.86,,-0.005411931300000001
79.86,,-0.0053958046999999995
