Tiempo [s],u [m],v [m/s],a [m/s²]
52.23,5.633648856459877e-07,7.615214019378487e-06,8.914705222454255e-06
52.23,5.887370272072221e-07,7.619069900964492e-06,-2.211705866984286e-05
52.24,6.138599861190358e-07,7.518455312465279e-06,-5.438630655675184e-05
52.24,6.383756100796831e-07,7.309363817609345e-06,-8.775082504458295e-05
52.24,6.619135605921961e-07,6.988258069730345e-06,-0.00012207434689839227
52.25,6.840928804350287e-07,6.552066008129579e-06,-0.00015720733077112926
52.25,7.045237122052471e-07,5.998242196727107e-06,-0.00019296645128512899
52.25,7.228093893671849e-07,5.3248966672808095e-06,-0.00022911512332196096
52.26,7.385491100049797e-07,4.530985960278733e-06,-0.00026534729195954647
52.26,7.513413676695936e-07,3.6165537616279543e-06,-0.0003012765477166421
52.26,7.607882566422521e-07,2.583002298160073e-06,-0.00033643187024664774
52.27,7.665006964203742e-07,1.4333716512472268e-06,-0.00037026089552542543
52.27,7.681045392475497e-07,1.7260194730738722e-07,-0.0004021406620166787
52.27,7.652474427847325e-07,-1.1922460550154714e-06,-0.00043139529615619635
52.28,7.576063156699235e-07,-2.651833836244537e-06,-0.00045731910617221656
52.28,7.44895083669991e-07,-4.194468183301631e-06,-0.0004792035356114666
52.28,7.268724835227704e-07,-5.806115343701328e-06,-0.0004963656070948221
52.29,7.033495739308691e-07,-7.470509583157131e-06,-0.0005081758751226287
52.29,6.741966594030831e-07,-9.169352625272394e-06,-0.0005140836261390825
52.29,6.393493511866826e-07,-1.0882593524286649e-05,-0.0005136377979866824
52.3,5.988135365361065e-07,-1.2588773596971259e-05,-0.0005065022925067848
52.3,5.526690877896242e-07,-1.4265417240667765e-05,-0.0004924651010983936
52.3,5.010722096120592e-07,-1.588944808802361e-05,-0.00047144133207268366
52.31,4.442563892161999e-07,-1.7437610636099444e-05,-0.00044347069783406664
52.31,3.8253197429741416e-07,-1.888687983831166e-05,-0.00040871060874205563
52.31,3.16284451385599e-07,-2.0214845224038996e-05,-0.00036742632472858486
52.32,2.4597152985652285e-07,-2.1400060993747577e-05,-0.0003199796710761141
52.32,1.7211915242502565e-07,-2.2422358670850405e-05,-0.000266817959173504
52.32,9.531655226611731e-08,-2.3263123880576655e-05,-0.00020846417666854704
52.33,1.6210463037465064e-08,-2.3905542304630763e-05,-0.00014550942796536743
52.33,-6.45014348291208e-08,-2.43348225008613e-05,-7.860785074941799e-05
52.33,-1.4607777446759437e-07,-2.4538403656407478e-05,-8.473786589166018e-06
52.34,-2.2774143620688229e-07,-2.450615521661741e-05,6.411947994093172e-05
52.34,-3.0868813686014105e-07,-2.4230572532293307e-05,0.0001383407166361178
52.34,-3.880956601848207e-07,-2.3706968381415823e-05,0.00021330270815829886
52.35,-4.651337022090749e-07,-2.2933655791930764e-05,0.00028806680126828394
52.35,-5.38974277273532e-07,-2.1912112468630186e-05,0.0003616513442114825
52.35,-6.08802588836577e-07,-2.0647113189355496e-05,0.0004330448053668676
52.36,-6.738282171618037e-07,-1.9146813937420484e-05,0.0005012243338248588
52.36,-7.332964190901359e-07,-1.742277005985399e-05,0.0005651792466545917
52.36,-7.864992807199193e-07,-1.5489872567073273e-05,0.0006239387973660522
52.37,-8.327864187546815e-07,-1.336618959282139e-05,0.0006766026781845805
52.37,-8.715748974933129e-07,-1.1072705668372225e-05,0.0007223721360821755
52.37,-9.023580219657332e-07,-8.632958636211372e-06,0.0007605794572885281
52.38,-9.247126867710817e-07,-6.072581790447004e-06,0.0007907132416596519
52.38,-9.383050063748746e-07,-3.4187672526231905e-06,0.000812437097070581
52.38,-9.428940246095434e-07,-6.996741541833105e-07,0.0008255997882441722
52.39,-9.383333941671593e-07,2.0561888231139705e-06,0.0008302355607156171
52.39,-9.245710247049724e-07,4.8205731332014514e-06,0.0008265538406479963
52.39,-9.016468122331554e-07,7.566057397440622e-06,0.0008149189502722079
52.4,-8.69688672506201e-07,1.026653929962257e-05,0.0007958207975012478
52.4,-8.289071978969234e-07,1.2897624115779774e-05,0.0007698387688847137
52.4,-7.795893314158097e-07,1.5436889481312938e-05,0.0007376015355524053
52.41,-7.220914955579645e-07,1.786401544762745e-05,0.0006997459828267176
52.41,-6.568326230553941e-07,2.0160779685195998e-05,0.0006568785971285296
52.41,-5.842875094075825e-07,2.2310928772505256e-05,0.0006095426083495275
52.42,-5.049808448755921e-07,2.4299946975676534e-05,0.0005581935515680507
52.42,-4.1948219135592007e-07,2.611475241935402e-05,0.0005031854514397527
52.42,-3.2840205478559425e-07,2.774335691438679e-05,0.000444768657186641
52.43,-2.3238907640320202e-07,2.91745284969389e-05,0.00038309959134305165
52.43,-1.3212823767397312e-07,3.0397495453289022e-05,0.00031826128633540826
52.43,-2.8339855450547347e-08,3.1401726362991306e-05,0.0002502929967585693
52.44,7.822095349114435e-08,3.217681396327068e-05,0.00017922594800372942
52.44,1.8676472696007254e-07,3.271248065277882e-05,0.00010512205757894983
52.44,2.964684508036441e-07,3.2998712442950295e-05,2.8111908237604593e-05
52.45,4.064771036139523e-07,3.302601597805298e-05,-5.1571489002760835e-05
52.45,5.159063190756224e-07,3.27857819634556e-05,-0.00013356629408139837
52.45,6.238464519183952e-07,3.2270728247620174e-05,-0.00021736545578034946
52.46,7.293682257875958e-07,3.1475388049139153e-05,-0.00030231168402334625
52.46,8.315300163358776e-07,3.0396604712773492e-05,-0.00038760469817962034
52.46,9.293866913190884e-07,2.903399277034367e-05,-0.00047231991632094514
52.47,1.0219998034996685e-06,2.7390328208525943e-05,-0.0005554373391476403
52.47,1.1084488226100703e-06,2.5471836116854572e-05,-0.0006358780419392915
52.47,1.1878430091191154e-06,2.328835281860064e-05,-0.0007125453192211673
52.48,1.2593334820452894e-06,2.085334979761322e-05,-0.0007843670955777247
52.48,1.3221250194145805e-06,1.8183818149346643e-05,-0.0008503360641559784
52.48,1.3754871537578854e-06,1.530002364401282e-05,-0.0009095445365749602
52.49,1.4187641828583037e-06,1.2225152260014568e-05,-0.0009612113288343917
52.49,1.451383801884889e-06,8.984874195035092e-06,-0.0010046989303821535
52.49,1.4728641681691433e-06,5.6068593513944794e-06,-0.001039520227780043
52.5,1.4828193236647467e-06,2.1202790380601785e-06,-0.00106533487371849
52.5,1.4809630117901999e-06,-1.444672688562639e-06,-0.001081936613441164
52.5,1.4671110236741516e-06,-5.057209642424638e-06,-0.001089233655783142
52.51,1.4411822848063298e-06,-8.686315028605844e-06,-0.0010872246436485953
52.51,1.4031989399313725e-06,-1.2301021945780974e-05,-0.001075973520626916
52.51,1.3532857071403688e-06,-1.58706116823728e-05,-0.0010555862835892984
52.52,1.2916687513569224e-06,-1.9364738525327305e-05,-0.0010261925400624075
52.52,1.2186742755597764e-06,-2.2753499070270415e-05,-0.0009879342377782838
52.52,1.1347269507385529e-06,-2.6007471209520364e-05,-0.0009409630894585246
52.53,1.0403482116253251e-06,-2.909775225331663e-05,-0.0008854472583218314
52.53,9.361543451378566e-07,-3.1996026687565017e-05,-0.0008215868653737668
52.53,8.228542030407554e-07,-3.467469183118492e-05,-0.0007496369470465252
52.54,7.012462908142104e-07,-3.7107064105168374e-05,-0.0006699353163148189
52.54,5.722149307585423e-07,-3.926767997938247e-05,-0.0005829325926179747
52.54,4.3672517600529077e-07,-4.11326957254751e-05,-0.0004892206793945475
52.55,2.9581616819154505e-07,-4.26803780490939e-05,-0.00038955638663283317
52.55,1.505926856639743e-07,-4.389166661633288e-05,-0.0002848768362757558
52.55,2.2147185857411267e-09,-4.4750778820591376e-05,-0.00017630393449107168
52.56,-1.4811497374605495e-07,-4.524581884618924e-05,-6.513611096714985e-05
52.56,-2.991652290383342e-07,-4.536934782095235e-05,4.717359220071724e-05
52.56,-4.496925292351681e-07,-4.5118869885401366e-05,0.00015905268722572923
52.57,-5.984583420601057e-07,-4.4497191179832284e-05,0.00026885623898321645
52.57,-7.442472418413504e-07,-4.3512614463823443e-05,0.00037492311099947094
