t,u (m),v (m/s),a (m/s2)
167.13,2.010178630538449e-08,2.959984098971778e-07,-1.1847830080666248e-05
167.13,2.102119055619075e-08,2.557397662344469e-07,-1.2766872697159969e-05
167.13,2.1801606851661846e-08,2.1258476341518792e-07,-1.3485375155203598e-05
167.14,2.2434486411248095e-08,1.6719740979757174e-07,-1.4008688214757466e-05
167.14,2.2913462953725703e-08,1.202232720856553e-07,-1.4342889576545767e-05
167.14,2.3234287718750096e-08,7.228733609010302e-08,-1.4494443205632636e-05
167.15,2.3394758966039397e-08,2.3992851494096226e-08,-1.4470040554700049e-05
167.15,2.339464833616291e-08,-2.4079384635399645e-08,-1.4276550399887353e-05
167.15,2.3235625001996956e-08,-7.1371630309812e-08,-1.3921032501432634e-05
167.16,2.292117773703838e-08,-1.1734984610578181e-07,-1.3410750651310583e-05
167.16,2.2456534816391028e-08,-1.6150435230430063e-07,-1.275314511309605e-05
167.16,2.184858198288684e-08,-2.033503395030213e-07,-1.1955739470216461e-05
167.17,2.110577934002867e-08,-2.424280093343369e-07,-1.102597620820305e-05
167.17,2.0238078748397626e-08,-2.783021356081574e-07,-9.971014477710904e-06
167.17,1.9256843827105006e-08,-3.105609413858448e-07,-8.797515923009173e-06
167.18,1.8174774790288724e-08,-3.3881431435448406e-07,-7.511493157069363e-06
167.18,1.700583990605846e-08,-3.6269160677679325e-07,-6.118265827164793e-06
167.18,1.5765214253325887e-08,-3.8183943816458296e-07,-4.62259568633068e-06
167.19,1.4469224709395282e-08,-3.9592013126543235e-07,-3.0290413546952413e-06
167.19,1.3135297800202671e-08,-4.046115331650205e-07,-1.3425561739473037e-06
167.19,1.178190444581049e-08,-4.076090317207831e-07,4.3067095899179073e-07
167.2,1.0428492998051762e-08,-4.046305428302649e-07,2.2821730920465726e-06
167.2,9.09539965881716e-09,-3.954250812105492e-07,4.200032505301933e-06
167.2,7.803723759065433e-09,-3.7978526951846525e-07,6.167672841050676e-06
167.21,6.575154776446178e-09,-3.575637957959126e-07,8.162744724438653e-06
167.21,5.431738665046635e-09,-3.2869339282863585e-07,1.0156242606215332e-05
167.21,4.395573250389236e-09,-2.932094575991563e-07,1.2111986122114623e-05
167.22,3.4884261120711932e-09,-2.512739903842474e-07,1.3986592441569149e-05
167.22,2.7312734337866658e-09,-2.031991364191556e-07,1.573003614138028e-05
167.22,2.1437645143778026e-09,-1.4946831579716677e-07,1.728686370172626e-05
